letter,words
A,"Alfa, Apple, Array, Aeroplane, Algorithm"
B,"Bravo, Ball, Binary, Bat, Bug"
C,"Charlie, Cat, Class, Code, Compile"
D,"Delta, Dog, Data, Debug, Deploy"
E,"Echo, Egg, Element, Execute, Error"
F,"Foxtrot, Fish, Function, File, Float"
G,"Golf, Goat, Git, Graph, Global"
H,"Hotel, Hat, HTML, Hash, Host"
I,"India, Ink, Input, Index, Integer"
J,"Juliett, Jug, JSON, Join, Java"
K,"Kilo, Kite, Key, Kernel, Kotlin"
L,"Lima, Lion, Loop, List, Logic"
M,"Mike, Man, Module, Map, Memory"
N,"November, Net, Node, Null, Number"
O,"Oscar, Owl, Object, Operator, Output"
P,"Papa, Pen, Python, Print, Package"
Q,"Quebec, Queen, Query, Queue, QuickSort"
R,"Romeo, Rat, React, Return, Runtime"
S,"Sierra, Sun, String, Stack, Script"
T,"Tango, Tiger, Table, Type, Token"
U,"Uniform, Umbrella, URL, Unicode, Update"
V,"Victor, Van, Variable, Vector, Version"
W,"Whiskey, Wolf, While, Web, Widget"
X,"X-ray, Xenon, XML, XOR, Xcode"
Y,"Yankee, Yak, YAML, Yield, Yotta"
Z,"Zulu, Zebra, Zip, Zone, Zero"
